#Coor	Free
2.005	0.058198
2.011	0
2.017	0.257912
2.023	0.634543
2.029	1.051408
2.035	1.495382
2.041	1.931337
2.047	2.336067
2.053	2.726189
2.059	3.078023
2.065	3.432499
2.071	3.784877
2.077	4.072642
2.083	4.363079
2.089	4.634755
2.095	4.901286
2.101	5.182673
2.107	5.437862
2.113	5.674416
2.119	5.869769
2.125	6.078186
2.131	6.302626
2.137	6.502266
2.143	6.704796
2.149	6.899093
2.155	7.099452
2.161	7.28645
2.167	7.457539
2.173	7.633704
2.179	7.805718
2.185	7.970519
2.191	8.132692
2.197	8.298324
2.203	8.446539
2.209	8.609887
2.215	8.756767
2.221	8.91087
2.227	9.054813
2.233	9.189075
2.239	9.323495
2.245	9.462934
2.251	9.605936
2.257	9.733704
2.263	9.862347
2.269	9.998283
2.275	10.128108
2.281	10.263761
2.287	10.396783
2.293	10.51669
2.299	10.642176
2.305	10.764683
2.311	10.882049
2.317	11.008989
2.323	11.128853
2.329	11.243688
2.335	11.359281
2.341	11.472648
2.347	11.600673
2.353	11.717053
2.359	11.826413
2.365	11.93904
2.371	12.049764
2.377	12.159363
2.383	12.272401
2.389	12.38624
2.395	12.496268
2.401	12.602518
2.407	12.713149
2.413	12.830456
2.419	12.934158
2.425	13.031724
2.431	13.12911
2.437	13.240957
2.443	13.349087
2.449	13.449859
2.455	13.543262
2.461	13.655669
2.467	13.760345
2.473	13.852934
2.479	13.953493
2.485	14.056867
2.491	14.154173
2.497	14.25261
2.503	14.351031
2.509	14.446195
2.515	14.543512
2.521	14.637586
2.527	14.736551
2.533	14.834825
2.539	14.924247
2.545	15.013751
2.551	15.104833
2.557	15.200012
2.563	15.283493
2.569	15.379196
2.575	15.467366
2.581	15.561717
2.587	15.647729
2.593	15.740583
2.599	15.832197
2.605	15.920111
2.611	16.009599
2.617	16.10153
2.623	16.192023
2.629	16.281833
2.635	16.370095
2.641	16.461131
2.647	16.551011
2.653	16.640965
2.659	16.730857
2.665	16.8243
2.671	16.923998
2.677	17.014809
2.683	17.102296
2.689	17.194216
2.695	17.284979
2.701	17.370497
2.707	17.471625
2.713	17.563353
2.719	17.665244
2.725	17.753044
2.731	17.850471
2.737	17.941006
2.743	18.034134
2.749	18.126453
2.755	18.225881
2.761	18.328024
2.767	18.429274
2.773	18.529085
2.779	18.618556
2.785	18.712031
2.791	18.820027
2.797	18.934788
2.803	19.001144
2.809	19.096583
2.815	19.185782
2.821	19.314643
2.827	19.414728
2.833	19.494729
2.839	19.586877
2.845	19.711908
2.851	19.787275
2.857	19.887235
2.863	19.967779
2.869	20.049329
2.875	20.142556
2.881	20.199604
2.887	20.279586
2.893	20.321476
2.899	20.406971
2.905	20.477501
2.911	20.533064
2.917	20.574701
2.923	20.640412
2.929	20.629725
2.935	20.569748
2.941	20.65338
2.947	20.522403
2.953	20.376479
2.959	19.932429
2.965	19.332101
2.971	18.209382
2.977	16.532058
2.983	15.224728
2.989	14.879072
2.995	15.568051
