#Coor	Free
2.005	0
2.011	0.129126
2.017	0.422832
2.023	0.766033
2.029	1.123102
2.035	1.47342
2.041	1.81713
2.047	2.150153
2.053	2.475361
2.059	2.771001
2.065	3.067101
2.071	3.329037
2.077	3.600594
2.083	3.843469
2.089	4.078966
2.095	4.300082
2.101	4.510626
2.107	4.727538
2.113	4.913926
2.119	5.109277
2.125	5.287139
2.131	5.46607
2.137	5.637091
2.143	5.797514
2.149	5.953643
2.155	6.113758
2.161	6.265182
2.167	6.395066
2.173	6.544622
2.179	6.67937
2.185	6.824612
2.191	6.958388
2.197	7.090372
2.203	7.224744
2.209	7.355532
2.215	7.474329
2.221	7.597182
2.227	7.714784
2.233	7.838818
2.239	7.955218
2.245	8.072072
2.251	8.188695
2.257	8.291342
2.263	8.403729
2.269	8.513052
2.275	8.620821
2.281	8.72758
2.287	8.835689
2.293	8.941206
2.299	9.042587
2.305	9.146534
2.311	9.239313
2.317	9.338553
2.323	9.437652
2.329	9.53269
2.335	9.627143
2.341	9.722264
2.347	9.810542
2.353	9.902362
2.359	9.993314
2.365	10.076996
2.371	10.169799
2.377	10.251995
2.383	10.338467
2.389	10.426782
2.395	10.513542
2.401	10.595062
2.407	10.675934
2.413	10.755959
2.419	10.845921
2.425	10.921662
2.431	11.000973
2.437	11.08276
2.443	11.158915
2.449	11.236145
2.455	11.313076
2.461	11.393876
2.467	11.465429
2.473	11.541998
2.479	11.61288
2.485	11.683408
2.491	11.764437
2.497	11.837326
2.503	11.912024
2.509	11.986954
2.515	12.057086
2.521	12.129658
2.527	12.205501
2.533	12.277703
2.539	12.348392
2.545	12.423083
2.551	12.492781
2.557	12.565358
2.563	12.634633
2.569	12.70302
2.575	12.772808
2.581	12.843469
2.587	12.912442
2.593	12.98642
2.599	13.060428
2.605	13.124478
2.611	13.193099
2.617	13.259296
2.623	13.321841
2.629	13.397082
2.635	13.459284
2.641	13.525807
2.647	13.588308
2.653	13.658396
2.659	13.724677
2.665	13.787043
2.671	13.853427
2.677	13.911267
2.683	13.983505
2.689	14.043173
2.695	14.109183
2.701	14.177851
2.707	14.241359
2.713	14.311423
2.719	14.378643
2.725	14.438358
2.731	14.513082
2.737	14.570759
2.743	14.641024
2.749	14.701419
2.755	14.773864
2.761	14.838066
2.767	14.912025
2.773	14.991276
2.779	15.058379
2.785	15.139297
2.791	15.195937
2.797	15.282169
2.803	15.33048
2.809	15.398173
2.815	15.458282
2.821	15.50732
2.827	15.591477
2.833	15.656642
2.839	15.677493
2.845	15.702242
2.851	15.765801
2.857	15.836589
2.863	15.843355
2.869	15.910953
2.875	15.860175
2.881	15.907338
2.887	15.788681
2.893	15.62096
2.899	15.571858
2.905	15.415865
2.911	15.400017
2.917	15.334933
2.923	15.245783
2.929	15.180131
2.935	15.0974
2.941	14.871549
2.947	14.734764
2.953	14.572652
2.959	14.259312
2.965	13.615453
2.971	12.323088
2.977	10.414298
2.983	8.953512
2.989	8.749695
2.995	10.182998
