#Coor	Free
2.8155	0.71041
2.8465	0.621456
2.8775	0.558488
2.9085	0.524672
2.9395	0.487515
2.9705	0.47773
3.0015	0.472002
3.0325	0.482603
3.0635	0.503423
3.0945	0.526573
3.1255	0.542986
3.1565	0.565579
3.1875	0.597821
3.2185	0.6206
3.2495	0.652131
3.2805	0.68482
3.3115	0.691832
3.3425	0.673805
3.3735	0.664853
3.4045	0.673538
3.4355	0.678616
3.4665	0.692661
3.4975	0.696675
3.5285	0.666653
3.5595	0.62336
3.5905	0.586482
3.6215	0.529537
3.6525	0.476292
3.6835	0.420664
3.7145	0.379614
3.7455	0.323834
3.7765	0.299086
3.8075	0.274333
3.8385	0.249864
3.8695	0.213266
3.9005	0.189207
3.9315	0.153884
3.9625	0.115812
3.9935	0.08729
4.0245	0.053076
4.0555	0.014696
4.0865	0.002151
4.1175	0
4.1485	0.017925
4.1795	0.038863
4.2105	0.046378
4.2415	0.069268
4.2725	0.097607
4.3035	0.139201
4.3345	0.195412
4.3655	0.254866
4.3965	0.311193
4.4275	0.331841
4.4585	0.346975
4.4895	0.385958
4.5205	0.435918
4.5515	0.478265
4.5825	0.529177
4.6135	0.560061
4.6445	0.595612
4.6755	0.64811
4.7065	0.692721
4.7375	0.744518
4.7685	0.792236
4.7995	0.853371
4.8305	0.890148
4.8615	0.943348
4.8925	0.985031
4.9235	1.008304
4.9545	1.035782
4.9855	1.064047
5.0165	1.086482
5.0475	1.074705
5.0785	1.075331
5.1095	1.061601
5.1405	1.037659
5.1715	1.051387
5.2025	1.090222
5.2335	1.122545
5.2645	1.0978
5.2955	0.99696
5.3265	0.884553
5.3575	0.795304
5.3885	0.728891
5.4195	0.688513
5.4505	0.64914
5.4815	0.606303
5.5125	0.571592
5.5435	0.527987
5.5745	0.479632
5.6055	0.438154
5.6365	0.388536
5.6675	0.351188
5.6985	0.317155
5.7295	0.277757
5.7605	0.236354
5.7915	0.207254
5.8225	0.175543
5.8535	0.155842
5.8845	0.145692
