Frame	Timestep	O_id	Distance(Å)	Theta(degrees)
0	0	4	3.576876	50.412391
0	0	6	4.388808	132.896285
0	0	14	4.006690	129.716194
0	0	20	3.774142	75.251621
0	0	25	3.953287	40.391940
0	0	27	5.182980	96.919514
0	0	28	4.473714	64.960678
0	0	29	3.847245	66.926029
0	0	31	4.563946	62.378448
0	0	38	3.118621	154.007991
0	0	39	4.297342	75.585506
0	0	43	4.902376	39.946036
0	0	44	4.375521	120.073864
0	0	46	5.189932	133.516810
0	0	49	4.600306	153.352868
0	0	51	4.056497	72.734955
0	0	56	4.166651	111.532377
0	0	62	3.037986	25.296425
0	0	65	4.776223	100.656363
0	0	66	4.272881	98.000127
1	100	4	3.430764	81.765510
1	100	6	4.449164	105.457169
1	100	14	4.033841	129.795158
1	100	20	3.051856	44.894903
1	100	25	3.727021	49.988111
1	100	27	5.202245	91.835866
1	100	28	4.178355	60.754422
1	100	29	3.870067	74.417079
1	100	31	4.672803	87.069660
1	100	38	3.829157	131.311014
1	100	39	4.388638	102.645823
1	100	43	4.427961	35.670395
1	100	44	4.671680	122.414591
1	100	49	4.742268	163.863781
1	100	51	4.321061	72.623682
1	100	56	4.228736	123.141244
1	100	62	3.265084	55.581954
1	100	65	4.860579	89.287986
1	100	66	4.239100	175.854644
2	200	4	3.190980	97.973654
2	200	6	4.203912	123.145448
2	200	14	4.491633	135.873105
2	200	18	5.184581	46.479686
2	200	20	3.219890	60.224214
2	200	25	3.634546	60.306823
2	200	28	3.618557	41.505235
2	200	29	3.751845	64.315010
2	200	31	3.820247	52.050292
2	200	38	4.193118	147.712296
2	200	39	4.371593	77.949808
2	200	43	3.329848	42.864486
2	200	44	4.122616	128.573530
2	200	49	4.312780	168.644486
2	200	51	4.078105	68.395258
2	200	56	4.689510	100.049075
2	200	62	3.615530	67.860840
2	200	65	4.308570	98.642465
2	200	66	4.441122	107.365851
3	300	4	3.419342	75.409900
3	300	6	4.348354	140.059269
3	300	14	4.587961	129.384293
3	300	20	3.731839	81.798548
3	300	23	5.068667	109.131591
3	300	25	3.288828	64.846501
3	300	28	3.110188	44.160792
3	300	29	4.342967	99.245396
3	300	31	3.230752	50.686715
3	300	38	4.315916	159.773091
3	300	39	4.885968	92.204944
3	300	43	2.715668	19.914515
3	300	44	4.068280	136.912749
3	300	49	3.948192	150.211170
3	300	51	3.808021	83.686638
3	300	56	5.064138	104.309366
3	300	62	4.030567	49.417880
3	300	65	4.551463	75.491033
3	300	66	4.549970	107.256561
4	400	4	3.942227	82.626913
4	400	6	3.904956	121.034425
4	400	14	4.388564	130.517995
