Bin_Center(deg),Count,Percentage(%)
2.50,334,0.1842
7.50,985,0.5433
12.50,1586,0.8748
17.50,2181,1.2030
22.50,2699,1.4888
27.50,3231,1.7822
32.50,3897,2.1496
37.50,4516,2.4910
42.50,5303,2.9251
47.50,6036,3.3295
52.50,6906,3.8094
57.50,7715,4.2556
62.50,8290,4.5728
67.50,8702,4.8000
72.50,8626,4.7581
77.50,8386,4.6257
82.50,8351,4.6064
87.50,8029,4.4288
92.50,7777,4.2898
97.50,7744,4.2716
102.50,7594,4.1889
107.50,7607,4.1960
112.50,7070,3.8998
117.50,6642,3.6637
122.50,6165,3.4006
127.50,5524,3.0471
132.50,5054,2.7878
137.50,4573,2.5225
142.50,3987,2.1992
147.50,3564,1.9659
152.50,3049,1.6818
157.50,2852,1.5732
162.50,2420,1.3349
167.50,2081,1.1479
172.50,1348,0.7436
177.50,466,0.2570
