Frame	Timestep	O_id	Distance(Å)	Theta(degrees)
0	0	487	4.074542	66.602161
0	0	491	4.514801	23.092031
0	0	494	3.808998	63.709410
0	0	499	4.521669	161.160218
0	0	507	3.507429	76.903100
0	0	510	4.022624	107.380092
0	0	518	4.063751	56.290370
0	0	531	3.996932	99.946720
0	0	542	4.071265	153.230613
1	100	487	3.512746	114.826484
1	100	494	3.312354	63.701443
1	100	499	4.838789	152.109841
1	100	507	3.978269	48.967028
1	100	510	4.057031	102.232800
1	100	518	3.994854	51.647169
1	100	531	4.318760	104.209880
1	100	542	4.200708	139.019967
2	200	487	4.185679	127.371169
2	200	491	5.147674	48.824247
2	200	494	3.132905	60.238206
2	200	499	4.285059	146.348543
2	200	507	3.300601	53.502209
2	200	510	3.864882	112.471697
2	200	518	4.514191	48.659868
2	200	531	4.466388	73.788058
2	200	542	4.521914	148.416199
3	300	487	4.211885	80.444238
3	300	494	3.031839	60.753492
3	300	499	4.168375	150.630649
3	300	507	2.719197	60.903909
3	300	510	3.774232	155.093541
3	300	518	4.663836	57.449953
3	300	531	4.304703	73.770008
3	300	542	4.655968	155.787242
4	400	487	3.475849	67.449277
4	400	494	3.123253	60.629211
4	400	499	4.111718	142.858343
4	400	507	3.077789	91.397030
4	400	510	4.558738	156.009320
4	400	518	4.623247	55.738024
4	400	531	3.630903	48.855089
4	400	542	4.612462	149.755321
5	500	487	3.922521	133.482709
5	500	494	3.346451	48.183782
5	500	499	3.773601	158.198947
5	500	507	3.168471	85.628324
5	500	510	4.317716	145.115852
5	500	518	4.541862	32.788624
5	500	531	3.782717	69.530335
5	500	542	4.410105	162.083438
6	600	487	3.790004	135.402444
6	600	494	3.302650	42.855806
6	600	499	4.082016	123.662405
6	600	507	3.293065	75.551821
6	600	510	4.014012	130.062350
6	600	518	4.387057	39.171999
6	600	531	4.111243	103.569662
6	600	542	4.045417	131.663304
7	700	487	3.509747	115.873101
7	700	494	3.247069	48.459006
7	700	499	4.106090	103.501739
7	700	507	3.357316	101.472842
7	700	510	3.960458	93.273998
7	700	518	3.997887	48.037567
7	700	531	3.874875	91.916171
7	700	542	4.160070	162.209358
8	800	487	3.383984	125.713165
8	800	494	3.515716	52.255915
8	800	499	4.639015	97.770136
8	800	507	3.278308	63.088179
8	800	510	4.343109	105.693295
8	800	518	3.759908	63.495807
8	800	531	3.611258	81.460299
8	800	542	4.039076	157.541694
9	900	487	3.561887	134.467621
9	900	494	3.182238	42.589395
9	900	499	4.483587	159.089158
9	900	507	3.558740	72.621235
9	900	510	4.704698	69.432983
9	900	518	4.194313	50.797765
9	900	531	4.006224	125.628069
9	900	542	3.975001	164.564608
10	1000	487	3.638564	103.665665
10	1000	494	3.311821	49.073871
10	1000	499	4.357400	146.559887
10	1000	507	3.341724	16.745768
10	1000	510	4.856326	86.256111
10	1000	518	3.844290	66.014138
10	1000	531	3.968104	165.289645
10	1000	542	4.130328	169.392194
11	1100	487	4.108803	107.904853
11	1100	494	3.122980	64.964369
11	1100	499	3.874214	167.319930
11	1100	507	3.112563	49.132906
11	1100	510	5.038943	81.179241
11	1100	518	4.327575	107.191755
11	1100	531	3.766014	123.502803
11	1100	542	4.595120	148.769244
12	1200	487	4.138604	80.866403
12	1200	494	3.093603	52.394010
12	1200	499	3.903012	160.005691
12	1200	507	2.842336	16.201199
12	1200	510	4.691613	88.010290
12	1200	518	4.393680	78.786545
12	1200	531	4.035825	159.381393
12	1200	542	4.798770	155.852705
13	1300	487	4.131886	85.609382
13	1300	494	3.147225	52.814202
13	1300	499	4.069399	140.106749
13	1300	507	3.189475	50.782969
13	1300	510	4.761185	81.252467
13	1300	518	4.297779	66.250738
13	1300	531	3.992737	176.826727
13	1300	542	4.482971	156.684267
14	1400	487	4.238902	80.726638
14	1400	494	3.074868	49.033147
14	1400	499	4.402809	143.758817
14	1400	507	3.607719	55.410632
14	1400	510	4.854678	38.719932
14	1400	518	4.044208	65.633449
14	1400	531	3.720997	162.745311
14	1400	542	4.232190	138.051996
15	1500	487	3.971829	96.573870
15	1500	494	2.654781	42.286469
15	1500	499	4.254242	131.342231
15	1500	507	4.043079	66.550437
15	1500	510	4.791205	52.662503
15	1500	518	3.751264	56.524502
15	1500	531	3.666776	117.453685
15	1500	542	4.409793	164.553986
16	1600	487	3.920833	125.598659
16	1600	494	3.031426	50.864260
16	1600	499	4.165170	110.262189
16	1600	506	5.063234	58.510025
16	1600	507	3.488878	88.932322
16	1600	510	4.916125	59.446899
16	1600	518	3.856545	70.381217
16	1600	531	3.113548	111.017133
16	1600	542	4.402686	168.034559
17	1700	487	3.639532	112.672849
17	1700	494	2.646993	55.583731
17	1700	496	5.201454	28.400959
17	1700	499	4.296012	138.347204
17	1700	506	5.036315	55.242902
17	1700	507	3.519317	53.999225
17	1700	510	4.616997	51.718739
17	1700	518	4.220655	87.887064
17	1700	531	3.385969	91.463993
17	1700	542	4.684156	155.109014
18	1800	487	3.894212	110.640510
18	1800	494	3.295700	43.346760
18	1800	499	4.176332	163.772495
18	1800	507	3.532812	10.502155
18	1800	510	3.973892	50.949792
18	1800	518	4.435740	77.798475
18	1800	531	3.477582	113.528345
18	1800	542	4.993602	159.634337
19	1900	487	4.009523	102.513229
19	1900	494	3.427497	59.192698
19	1900	499	3.914091	159.808094
19	1900	507	3.781195	55.957196
19	1900	510	4.174970	49.774324
19	1900	518	4.447109	55.526591
19	1900	531	3.705144	134.021254
19	1900	542	4.803578	170.623034
20	2000	487	3.563462	94.666433
20	2000	494	2.663400	45.103969
20	2000	499	4.388923	151.031839
20	2000	507	3.380618	40.399265
20	2000	510	4.371094	64.325811
20	2000	518	4.279842	18.435566
20	2000	531	3.921458	164.904060
20	2000	542	4.091964	161.853541
21	2100	487	3.794241	98.024024
21	2100	494	3.439635	61.111421
21	2100	499	4.476216	157.068798
21	2100	506	4.950376	77.290125
21	2100	507	3.317477	93.286433
21	2100	510	4.544535	54.302526
21	2100	518	4.328384	42.101559
21	2100	531	3.748420	85.832098
21	2100	542	4.442034	153.921629
22	2200	487	3.728057	103.296812
22	2200	494	3.386887	56.444775
22	2200	499	4.315941	167.186772
22	2200	506	4.577605	54.614560
22	2200	507	3.092786	20.166809
22	2200	510	4.433896	87.475098
22	2200	518	4.604199	70.988710
22	2200	531	3.570004	139.945609
22	2200	542	4.858483	124.276557
23	2300	487	4.230259	112.598000
23	2300	494	3.234205	64.691814
23	2300	499	3.948229	135.804364
23	2300	506	4.176649	109.934696
23	2300	507	3.509318	61.060174
23	2300	510	3.961770	55.351080
23	2300	518	4.434977	46.818706
23	2300	531	4.466736	168.204098
24	2400	487	4.414423	137.077429
24	2400	494	2.906472	63.067543
24	2400	499	4.195706	163.177038
24	2400	506	3.847917	114.775118
24	2400	507	3.875981	29.212791
24	2400	510	4.402420	36.997612
24	2400	518	4.166390	90.773973
24	2400	531	4.697465	163.730376
25	2500	487	3.941049	82.390408
25	2500	494	3.066436	61.496524
25	2500	499	4.089416	134.673436
25	2500	506	3.914673	153.484022
25	2500	507	3.941701	77.885262
25	2500	510	4.234036	52.568846
25	2500	518	4.037402	52.442510
25	2500	531	4.216359	169.404357
25	2500	542	5.145199	144.715271
26	2600	487	3.913052	81.381067
26	2600	494	3.412162	58.895837
26	2600	499	4.036812	94.585364
26	2600	506	4.185884	155.816413
26	2600	507	3.882994	27.530361
26	2600	510	4.610563	78.248751
26	2600	518	3.808276	44.274170
26	2600	531	2.977491	114.839403
26	2600	542	4.734458	113.360745
27	2700	487	3.838797	90.140419
27	2700	494	2.804292	58.429667
