Bin_Center(deg),Count,Percentage(%)
2.50,39,0.0463
7.50,133,0.1579
12.50,208,0.2470
17.50,284,0.3372
22.50,400,0.4750
27.50,661,0.7849
32.50,1023,1.2147
37.50,1667,1.9794
42.50,2516,2.9875
47.50,3438,4.0823
52.50,4459,5.2947
57.50,4929,5.8527
62.50,5077,6.0285
67.50,4841,5.7482
72.50,4762,5.6544
77.50,4559,5.4134
82.50,4267,5.0667
87.50,4035,4.7912
92.50,3596,4.2699
97.50,3308,3.9279
102.50,2989,3.5492
107.50,2780,3.3010
112.50,2634,3.1276
117.50,2381,2.8272
122.50,2183,2.5921
127.50,2008,2.3843
132.50,1915,2.2739
137.50,1775,2.1077
142.50,1643,1.9509
147.50,1679,1.9937
152.50,1743,2.0697
157.50,1811,2.1504
162.50,1729,2.0530
167.50,1412,1.6766
172.50,965,1.1458
177.50,368,0.4370
